127.0.0.1 - - [24/Jun/2024:09:44:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Jun/2024:09:44:29 +0900] "GET /digi/ HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [24/Jun/2024:09:44:29 +0900] "GET /digi/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2024:09:44:29 +0900] "GET /digi/resources/css/index2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2024:09:44:29 +0900] "GET /digi/resources/image/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2024:09:44:29 +0900] "GET /digi/resources/image/character_del.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2024:09:44:29 +0900] "GET /digi/resources/css/image/back-image.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [24/Jun/2024:09:44:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Jun/2024:09:44:40 +0900] "GET /digi/board/list HTTP/1.1" 200 7667
0:0:0:0:0:0:0:1 - - [24/Jun/2024:09:44:40 +0900] "GET /digi/resources/css/boardlist.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2024:09:44:40 +0900] "GET /digi/resources/css/image/back-image.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [24/Jun/2024:10:05:24 +0900] "GET /digi/board/list HTTP/1.1" 200 7674
0:0:0:0:0:0:0:1 - - [24/Jun/2024:10:05:25 +0900] "GET /digi/resources/css/image/back-image.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [24/Jun/2024:10:05:31 +0900] "GET /digi/ HTTP/1.1" 200 1880
0:0:0:0:0:0:0:1 - - [24/Jun/2024:10:05:31 +0900] "GET /digi/resources/css/image/back-image.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [24/Jun/2024:10:05:38 +0900] "GET /digi/board/list HTTP/1.1" 200 7674
0:0:0:0:0:0:0:1 - - [24/Jun/2024:10:05:38 +0900] "GET /digi/resources/css/image/back-image.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [24/Jun/2024:10:05:40 +0900] "GET /digi/board/boardDetailAction?num=6 HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [24/Jun/2024:10:05:40 +0900] "GET /digi/resources/css/boardview.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2024:10:05:40 +0900] "GET /digi/resources/css/image/back-image.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [24/Jun/2024:10:05:44 +0900] "GET /digi/board/boardwrite HTTP/1.1" 200 1870
